row ID,row m/z,row retention time,Extract.mzXML Peak area,F_5.mzXML Peak area,F_6.mzXML Peak area,F_7.mzXML Peak area,F_8.mzXML Peak area,F_9.mzXML Peak area,F_10.mzXML Peak area,F_11.mzXML Peak area,F_12.mzXML Peak area,F_13.mzXML Peak area,F_14.mzXML Peak area,F_15.mzXML Peak area,F_16.mzXML Peak area,F_17.mzXML Peak area
BioactivityCHIKV,,,68,1,4,1,3,19,8,16,41,140,17,10.5,5,57
1,270.279,1698,5690330.648,246596025.8,186949611.9,362958584.3,160968306.6,100851795,68548846,141101388.6,152605614.9,50568985.19,40253160.68,51162993.45,49859528,49792596.94
2,271.283,1699,569378.0508,40396489.5,30710029.19,63895441,26317669.94,16091012.72,11523241.45,22836562.94,25351372.56,7873325.141,5872291.102,6356980.355,5143812.746,8061989.828
3,279.174,1413,3172924.301,0,0,0,0,93954.36719,0,1538465.898,62451927.88,410657.7383,41184.00781,118658.957,0,0
4,280.264,1420,1821883.145,94393467.5,676012.5898,97160.13867,149605.0859,199154.6055,0,0,131789.8184,2366320.871,0,25537.34961,13143595.08,2932928.926
5,281.19,1031,1786364.576,0,978061.5645,34595232.38,248809.127,0,0,0,0,0,32346.52344,0,0,0
6,282.279,1660,18655705.17,869225772.3,8307734.406,3306291.516,2679013.336,3557114.438,951736.6855,2045580.16,1364686.59,27919737.22,1692812.678,15499664.72,160396863.4,22192166.38
7,297.185,1652,2756177.957,0,94191746.19,9480674.57,220247.5742,0,0,24716.10742,127001.8027,0,0,0,56650.80664,0
8,297.185,1556,13434565.03,0,34654519.44,63097219.56,1264704.051,161591.1602,31515.83789,1824419.426,1195892.773,0,73953.37891,261711.0742,156666.0313,96477.29883
9,298.311,1968,834155.5469,41755974.13,52004881.63,90181565.75,21814211.63,24095938.44,19067812.69,32082638.31,33901419.25,10483965.42,9190825.516,9311690.223,9746884.016,9818075.156
10,313.179,1721,36584006.31,0,2332133.852,320576.6172,47179.1875,230989.3789,24203430.5,22180286.87,62493192,36322558.81,1699796.59,4068447.107,5830827.031,3395347.66
11,315.195,1687,24839571.38,0,1183268912,29647623.53,4693844.098,2008481.605,484939.3145,1327720.719,1747633.17,117484.6875,759995.1113,1560045.102,1924521.369,624693.4004
12,315.195,1777,3912381.387,111914.2734,221732695.9,3826886.621,467680.9141,52486.86328,0,0,105575.1523,0,0,40080.83594,86983.04297,0
13,341.267,1509,682454.4258,0,0,1683225.391,43451662.38,174404.3281,0,38086.46875,0,0,0,0,0,24016.22266
14,363.25,1511,355148.0352,0,0,1675629.898,39603466.25,68125.25195,0,22367.46289,0,0,0,0,0,0
15,383.165,564,3415479.07,0,0,0,0,0,0,0,0,0,0,0,273152.4023,106215235.9
16,383.22,1668,19134184.48,30361.3418,27053.51953,0,49766578.36,81560510.05,11640575.64,66605405.19,3632851.686,11933450.15,316615.2266,671151.373,1727491.738,1413213.641
17,383.222,1524,30806088.56,0,52662.38281,0,565997.7402,249648.8223,4865798.418,48055179,3670830.875,41739482.38,1947411.693,2230766.287,1527586.803,2446774.316
18,383.222,1615,145202358.9,23467.96484,55504.54883,0,10198466.46,73263425.38,131413464,708453617.3,221412906.8,43453535.5,6325228.301,12039130.33,9811830.902,9212841.34
19,383.222,1698,34771783.13,0,0,2287701.086,50253235.5,2066417.641,111266905.5,261995524.5,13687029.84,6369216.238,1403534.797,2768190.617,3286970.607,2635712.535
20,383.222,1407,72082959.25,0,0,0,1803498.125,144911.8887,97269656.19,758190224.3,108964037.5,14610654.41,3333169.766,5256044.131,2528999.824,4445126.551
21,387.216,1361,9119823.094,0,0,0,0,23477.88281,0,0,0,16407044.59,44368882.88,2068969.023,597934.3281,318864.2305
22,393.166,642,4559872.973,0,0,0,0,0,0,0,0,0,0,24792.22266,236035.8438,159802885.4
23,397.179,821,557474.6406,24681.01758,0,25317.19922,0,0,0,0,0,0,0,0,1549803.461,82367982
24,397.18,672,1785483.156,0,0,0,0,0,0,0,0,0,0,0,56899184.13,279115265.9
25,400.157,589,1559340.84,0,0,0,0,0,0,0,22919.5293,0,0,0,103040.3477,53469552.63
26,400.175,809,5054174.027,0,0,0,0,0,0,0,0,0,0,0,38569.875,230655044.3
27,401.232,1290,391240474.6,30320.88672,212967.6992,0,164370.3164,29473.35742,29119.30469,18934641.55,1441411.996,685107440,36394389.26,52923812.76,27275613.83,24347598.32
