shared name,IDs,cor,cor_pval,r2,r2_pval
1,270.279 1698 1 (ID: 9),-0.3243776067,0.2578493567,0.1052208317,0.2578493567
2,271.283 1699 1 (ID: 355),-0.3183746499,0.2672711997,0.1013624177,0.2672711997
3,279.174 1413 1 (ID: 511),0.1134497841,0.6993750598,0.0128708535,0.6993750598
4,280.264 1420 1 (ID: 1029),-0.2007029591,0.4914532731,0.0402816778,0.4914532731
5,281.190 1031 1 (ID: 1070),-0.2013304337,0.4900712251,0.0405339435,0.4900712251
6,282.279 1660 1 (ID: 345),-0.2019289702,0.4887546096,0.0407753090,0.4887546096
7,297.185 1652 1 (ID: 1035),-0.2712138909,0.3482836663,0.0735569746,0.3482836663
8,297.185 1556 1 (ID: 357),-0.2148748882,0.4606882154,0.0461712176,0.4606882154
9,298.311 1968 1 (ID: 132),-0.2966429267,0.3030698226,0.0879970259,0.3030698226
10,313.179 1721 1 (ID: 538),0.5141490934,0.0599876302,0.2643492903,0.0599876302
11,315.195 1687 1 (ID: 181),-0.2143873815,0.4617306873,0.0459619493,0.4617306873
12,315.195 1777 1 (ID: 1042),-0.2037285311,0.4848060695,0.0415053144,0.4848060695
13,341.267 1509 1 (ID: 1074),-0.2053974044,0.4811577499,0.0421880937,0.4811577499
14,363.250 1511 1 (ID: 1094),-0.2072813694,0.4770548838,0.0429655661,0.4770548838
15,383.165 564 2 (ID: 1002),0.2296734384,0.4295951261,0.0527498883,0.4295951261
16,383.220 1668 1 (ID: 429),-0.1879532323,0.5199229485,0.0353264175,0.5199229485
17,383.222 1524 1 (ID: 259),0.5347938638,0.0487932731,0.2860044768,0.0487932731
18,383.222 1615 1 (ID: 19),-0.0375742321,0.8985243128,0.0014118229,0.8985243128
19,383.222 1698 1 (ID: 60),-0.2429852581,0.4025608836,0.0590418356,0.4025608836
20,383.222 1407 1 (ID: 37),-0.0666029710,0.8210295805,0.0044359557,0.8210295805
21,387.216 1361 1 (ID: 696),0.2818558152,0.3289302608,0.0794427006,0.3289302608
22,393.166 642 2 (ID: 941),0.2283872514,0.4322546056,0.0521607366,0.4322546056
23,397.179 821 2 (ID: 970),0.2113073268,0.4683433460,0.0446507863,0.4683433460
24,397.180 672 1 (ID: 354),0.1722076408,0.5560666488,0.0296554716,0.5560666488
25,400.157 589 1 (ID: 988),0.2286594769,0.4316910288,0.0522851564,0.4316910288
26,400.175 809 2 (ID: 1025),0.2259544403,0.4373075398,0.0510554091,0.4373075398
27,401.232 1290 1 (ID: 171),0.9115338972,0.0000057064,0.8308940458,0.0000057064
28,401.232 1411 1 (ID: 29),0.1564823708,0.5931858904,0.0244867324,0.5931858904
29,401.232 1619 1 (ID: 23),0.6400737727,0.0136797352,0.4096944346,0.0136797352
30,401.232 1527 1 (ID: 7),0.8787997068,0.0000350720,0.7722889247,0.0000350720
31,404.170 605 1 (ID: 971),0.2278763844,0.4333132295,0.0519276466,0.4333132295
32,410.158 731 2 (ID: 989),0.2251990209,0.4388825227,0.0507145990,0.4388825227
33,414.173 687 2 (ID: 977),0.2337710775,0.4211776782,0.0546489167,0.4211776782
34,414.173 905 2 (ID: 1008),0.2272913955,0.4345270469,0.0516613785,0.4345270469
35,417.335 1560 1 (ID: 1087),-0.1971606703,0.4992892922,0.0388723299,0.4992892922
36,418.187 923 1 (ID: 955),0.1668640842,0.5685690017,0.0278436226,0.5685690017
37,419.193 691 1 (ID: 927),-0.1612979927,0.5817144708,0.0260170424,0.5817144708
38,421.162 672 2 (ID: 205),0.2359012835,0.4168352438,0.0556494156,0.4168352438
39,421.180 832 2 (ID: 1007),0.2199536864,0.4498961936,0.0483796242,0.4498961936
40,421.181 1077 2 (ID: 965),0.2303147028,0.4282722602,0.0530448623,0.4282722602
41,425.175 708 2 (ID: 186),0.2361570000,0.4163155117,0.0557701287,0.4163155117
42,425.377 1935 1 (ID: 1092),-0.2589283593,0.3713871184,0.0670438953,0.3713871184
43,428.169 812 2 (ID: 1019),0.2242575145,0.4408494346,0.0502914328,0.4408494346
44,428.189 1188 2 (ID: 930),0.2172019384,0.4557279060,0.0471766820,0.4557279060
45,431.164 790 2 (ID: 998),0.2308464652,0.4271768497,0.0532900905,0.4271768497
46,431.164 975 2 (ID: 1015),0.2224580333,0.4446209219,0.0494875766,0.4446209219
47,432.167 788 1 (ID: 935),0.2282487615,0.4325414572,0.0520974971,0.4325414572
48,432.184 803 2 (ID: 344),-0.0835724692,0.7763782425,0.0069843576,0.7763782425
49,435.177 919 2 (ID: 218),0.3478956928,0.2228914649,0.1210314131,0.2228914649
50,439.357 1214 1 (ID: 1081),-0.1975849552,0.4983476910,0.0390398145,0.4983476910
51,439.357 1157 1 (ID: 1085),-0.2248355293,0.4396413778,0.0505510152,0.4396413778
52,439.357 1577 1 (ID: 1095),-0.2165846211,0.4570412209,0.0469088981,0.4570412209
53,441.372 1526 1 (ID: 1091),-0.2001993652,0.4925637796,0.0400797858,0.4925637796
54,442.168 776 2 (ID: 197),0.2314763041,0.4258812419,0.0535812793,0.4258812419
55,442.186 1085 2 (ID: 184),0.2307960023,0.4272807405,0.0532667947,0.4272807405
56,443.242 1625 1 (ID: 363),-0.1906154307,0.5139180722,0.0363342424,0.5139180722
57,445.180 1199 1 (ID: 952),0.2218709111,0.4458549041,0.0492267012,0.4458549041
58,445.191 1050 2 (ID: 885),-0.1802675614,0.5374329049,0.0324963937,0.5374329049
59,452.168 1024 1 (ID: 207),0.2317394007,0.4253406304,0.0537031498,0.4253406304
60,459.236 1282 1 (ID: 818),-0.1817962018,0.5339298949,0.0330498590,0.5339298949
61,464.181 847 1 (ID: 997),0.2234978885,0.4424395695,0.0499513061,0.4424395695
62,464.200 1211 2 (ID: 846),-0.1721746866,0.5561433932,0.0296441227,0.5561433932
63,465.370 2044 1 (ID: 1068),-0.2786768656,0.3346468501,0.0776607954,0.3346468501
64,465.370 1966 1 (ID: 1075),-0.2861659618,0.3212679487,0.0818909577,0.3212679487
65,465.370 1944 1 (ID: 1082),-0.2197800682,0.4502630486,0.0483032784,0.4502630486
66,466.186 1442 1 (ID: 968),0.2231577132,0.4431525852,0.0497993649,0.4431525852
67,467.387 2205 1 (ID: 1044),-0.1788518477,0.5406860465,0.0319879834,0.5406860465
68,481.293 1687 1 (ID: 1051),-0.2106686878,0.4697201301,0.0443812960,0.4697201301
69,481.365 1906 1 (ID: 131),-0.3216741547,0.2620674275,0.1034742618,0.2620674275
