"shared name","IDs_2","cor_2"," pval_2","Extract","p.value.corrected","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"","BioactivityCHIKV","0","0"," 68.0","0","  1.0","  4.0","  1.0","  3.0"," 19.0","  8.0"," 16.0"," 41.0","140.0"," 17.0"," 10.5","  5.0"," 57.0"
"1","270.279 1698 1 (ID: 9)","-0.324377606725705","0.257849356719369","0.0001391824","1","0.1594079650","0.0228397314","0.3139762067","0.0551088883","0.0037037451","0.0021999430","0.0051105305","0.0045498954","0.0015841691","0.0011857656","0.0013028582","0.0011880918","0.0009190047"
"2","271.283 1699 1 (ID: 355)","-0.318374649942669","0.267271199671765","0.0000139267","1","0.0261136500","0.0037518603","0.0552725554","0.0090100816","0.0005909366","0.0003698162","0.0008271141","0.0007558444","0.0002466468","0.0001729842","0.0001618796","0.0001225708","0.0001487974"
"3","279.174 1413 1 (ID: 511)","0.11344978411662","0.699375059832539","7.760803e-05","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.450476e-06","3.209307e-11","5.572151e-05","1.861987e-03","1.286466e-05","1.213216e-06","3.021659e-06","2.382878e-11","1.845665e-11"
"4","280.264 1420 1 (ID: 1029)","-0.200702959079237","0.49145327312603","4.456230e-05","1","6.101911e-02","8.258893e-05","8.404894e-05","5.121893e-05","7.313916e-06","3.209307e-11","3.621885e-11","3.929308e-06","7.412951e-05","2.945770e-11","6.503304e-07","3.131959e-04","5.413207e-05"
"5","281.190 1031 1 (ID: 1070)","-0.201330433729144","0.490071225054009","4.369353e-05","1","6.464336e-10","1.194904e-04","2.992650e-02","8.518229e-05","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","9.528837e-07","2.546485e-11","2.382878e-11","1.845665e-11"
"6","282.279 1660 1 (ID: 345)","-0.201928970163321","0.48875460960341","4.563084e-04","1","5.618968e-01","1.014960e-03","2.860098e-03","9.171837e-04","1.306338e-04","3.054419e-05","7.408860e-05","4.068779e-05","8.746386e-04","4.986640e-05","3.946967e-04","3.822062e-03","4.095931e-04"
"7","297.185 1652 1 (ID: 1035)","-0.27121389090935","0.348283666308653","6.741464e-05","1","6.464336e-10","1.150745e-02","8.201229e-03","7.540400e-05","3.672463e-11","3.209307e-11","8.952253e-07","3.786554e-06","3.132689e-11","2.945770e-11","2.546485e-11","1.349944e-06","1.845665e-11"
"8","297.185 1556 1 (ID: 357)","-0.214874888224598","0.460688215436271","3.286022e-04","1","6.464336e-10","4.233761e-03","5.458206e-02","4.329827e-04","5.934413e-06","1.011472e-06","6.607841e-05","3.565525e-05","3.132689e-11","2.178526e-06","6.664460e-06","3.733185e-06","1.780667e-06"
"9","298.311 1968 1 (ID: 132)","-0.296642926666024","0.3030698225754","2.040302e-05","1","2.699247e-02","6.353464e-03","7.801129e-02","7.468284e-03","8.849145e-04","6.119447e-04","1.161996e-03","1.010762e-03","3.284301e-04","2.707406e-04","2.371209e-04","2.322564e-04","1.812088e-04"
"10","313.179 1721 1 (ID: 538)","0.514149093415966","0.0599876302308284","8.948249e-04","1","6.464336e-10","2.849181e-04","2.773147e-04","1.615254e-05","8.483037e-06","7.767624e-04","8.033446e-04","1.863218e-03","1.137873e-03","5.007213e-05","1.036024e-04","1.389415e-04","6.266677e-05"
"11","315.195 1687 1 (ID: 181)","-0.214387381474332","0.461730687253729","6.075624e-04","1","6.464336e-10","1.445606e-01","2.564659e-02","1.606978e-03","7.376079e-05","1.556322e-05","4.808856e-05","5.210524e-05","3.680461e-06","2.238774e-05","3.972635e-05","4.585902e-05","1.152977e-05"
"12","315.195 1777 1 (ID: 1042)","-0.20372853105752","0.484806069511438","9.569474e-05","1","7.234580e-05","2.708920e-02","3.310437e-03","1.601149e-04","1.927597e-06","3.209307e-11","3.621885e-11","3.147725e-06","3.132689e-11","2.945770e-11","1.020678e-06","2.072724e-06","1.845665e-11"
"13","341.267 1509 1 (ID: 1074)","-0.2053974044361","0.481157749869592","1.669249e-05","1","6.464336e-10","1.221705e-10","1.456070e-03","1.487605e-02","6.404972e-06","3.209307e-11","1.379484e-06","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","4.432775e-07"
"14","363.250 1511 1 (ID: 1094)","-0.207281369412495","0.477054883790855","8.686752e-06","1","6.464336e-10","1.221705e-10","1.449499e-03","1.355859e-02","2.501912e-06","3.209307e-11","8.101601e-07","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","1.845665e-11"
"15","383.165 564 2 (ID: 1002)","0.229673438354267","0.42959512606125","8.354078e-05","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","6.508913e-06","1.960378e-03"
"16","383.220 1668 1 (ID: 429)","-0.187953232291067","0.519922948532928","4.680118e-04","1","1.962724e-05","3.305265e-06","8.650469e-10","1.703802e-02","2.995280e-03","3.735819e-04","2.412371e-03","1.083125e-04","3.738379e-04","9.326786e-06","1.709080e-05","4.116405e-05","2.608321e-05"
